seq_len,ch_idx
2048,30
2048,31
1014,12
930,11
898,22
829,20
826,13
777,16
790,13
763,20
725,12
730,15
712,23
661,17
770,19
674,22
686,23
724,4
649,12
649,18
674,18
680,25
642,26
636,4
630,28
603,9
581,24
576,6
661,12
563,12
569,13
577,16
553,0
558,11
584,18
543,22
595,27
520,24
535,29
522,31
498,16
520,20
530,28
504,29
478,11
476,21
485,22
481,29
493,5
466,6
487,10
490,17
451,25
477,31
557,1
461,5
440,15
457,20
451,24
489,27
441,29
445,30
440,2
616,3
454,8
520,11
429,13
423,18
427,19
433,22
452,30
1119,2
439,6
411,18
416,19
1151,22
413,26
569,27
431,28
411,2
410,3
483,4
403,5
408,6
428,8
415,10
444,15
392,17
390,20
406,23
398,24
386,25
381,30
616,1
381,6
395,8
393,10
384,13
1274,16
579,23
379,6
430,9
603,11
386,16
366,19
363,23
352,25
362,26
341,29
352,31
369,9
696,13
340,17
341,21
331,29
321,30
338,31
334,0
325,1
321,7
396,9
349,14
356,15
322,19
312,22
748,27
335,28
332,30
353,31
334,1
353,2
320,5
307,6
309,7
311,10
308,11
317,12
314,14
313,16
445,25
313,26
386,27
333,29
318,30
879,31
315,0
2048,3
307,4
303,5
299,7
301,8
786,9
314,16
321,18
308,21
302,25
719,27
284,31
283,8
306,11
302,13
286,14
305,15
353,17
284,18
288,19
347,22
298,23
278,25
300,28
288,30
300,31
264,0
283,1
565,2
683,3
262,4
270,6
270,7
289,8
260,9
270,10
316,11
261,12
571,13
277,15
253,17
264,18
256,19
261,20
259,21
566,23
250,26
251,29
255,1
250,2
299,3
248,4
248,7
288,10
261,11
278,12
406,13
243,14
257,15
242,16
272,18
241,19
249,20
238,23
249,24
282,27
242,28
239,29
226,30
227,1
234,2
280,3
242,4
286,6
232,8
945,13
214,15
222,18
235,19
216,20
221,21
325,24
517,27
222,28
220,29
334,31
210,0
506,1
220,2
324,3
210,5
206,6
194,12
210,13
213,16
247,19
189,20
267,21
226,24
193,26
202,28
197,29
196,30
236,31
281,0
187,1
213,4
194,5
184,6
189,7
202,8
171,9
183,10
178,12
180,14
636,15
176,17
186,18
187,19
165,20
213,22
173,23
172,24
171,25
168,26
173,27
186,29
183,30
2048,31
567,0
162,1
189,2
172,3
155,4
172,5
161,6
170,8
160,9
207,10
146,11
158,12
151,13
159,14
236,15
202,16
154,17
156,18
149,19
169,20
250,21
149,24
165,26
289,27
186,28
157,29
182,30
286,31
138,0
145,1
933,4
141,8
136,9
125,11
457,14
132,15
127,16
126,17
135,18
127,19
370,20
160,21
119,22
119,23
123,24
138,25
119,26
132,27
140,28
113,29
137,31
137,0
126,2
113,3
121,4
144,5
306,6
112,7
107,8
165,9
112,10
355,12
109,13
112,14
106,15
126,16
116,18
111,19
111,21
149,22
483,23
1936,24
109,25
165,26
101,27
107,28
109,29
754,0
138,1
103,3
130,4
117,5
102,6
128,7
113,8
753,9
107,10
125,11
85,12
89,13
84,14
94,15
94,16
99,17
145,18
194,19
86,20
156,21
87,22
81,23
96,24
86,26
91,27
127,28
136,29
92,30
194,0
80,1
120,2
90,4
109,6
423,7
118,8
371,9
77,11
85,12
85,13
359,14
82,15
203,16
98,17
77,18
94,19
76,20
83,22
2048,23
79,24
68,25
75,26
69,27
78,28
400,29
74,30
65,31
154,0
66,1
69,2
64,3
73,4
66,5
53,6
58,7
75,8
60,9
58,10
75,11
59,12
60,13
77,14
66,15
94,16
108,17
729,18
82,19
56,20
43,21
51,22
53,23
56,24
68,25
550,26
53,27
57,28
41,29
57,30
49,31
47,0
56,1
46,2
46,3
53,4
53,5
51,6
674,7
41,8
47,9
109,10
35,11
40,12
39,13
55,16
40,17
45,18
40,19
31,20
40,21
1492,22
58,23
331,24
51,25
59,26
40,27
22,28
56,30
57,31
30,0
23,1
49,2
39,3
27,4
203,5
60,6
23,7
40,8
21,9
35,10
39,11
18,12
41,13
117,14
36,15
14,16
61,17
16,18
26,19
107,20
122,21
32,22
17,23
17,24
301,25
27,26
983,27
9,28
12,29
21,30
21,31
89,0
10,1
5,2
5,3
53,4
15,5
6,6
29,7
12,8
80,9
