input_toks	output_toks
7	41
7	12
7	77
7	85
12	151
6	1
11	41
23	216
7	18
8	9
6	43
7	7
14	47
7	87
11	11
11	108
8	94
9	33
10	86
13	8
6	12
12	267
7	43
7	299
10	86
8	155
8	101
10	182
10	58
14	84
10	163
9	7
14	46
8	152
11	116
15	7
8	49
9	9
14	38
9	56
8	93
11	9
9	123
8	53
21	51
9	118
10	100
8	88
6	62
7	34
11	14
7	124
10	8
8	9
16	11
16	19
8	12
11	6
7	9
9	9
9	12
12	11
9	15
10	10
8	7
13	75
10	4
8	38
7	10
8	116
9	5
11	10
4	52
8	21
10	6
9	12
9	4
12	221
10	12
28	63
16	91
22	1
10	121
10	222
10	152
13	94
10	205
10	135
10	83
18	3
13	227
11	10
9	68
8	57
11	58
7	5
7	76
16	11
6	7
10	2
9	59
8	30
13	21
7	7
8	76
13	13
9	32
9	40
14	5
12	14
8	10
16	16
10	20
12	8
8	6
10	34
10	19
12	6
7	9
9	8
9	6
8	53
13	4
7	15
14	18
5	15
7	11
10	7
9	26
6	11
10	20
8	13
9	10
9	19
9	6
8	24
12	19
13	5
14	20
10	11
17	63
12	7
12	7
11	19
10	12
10	22
13	25
12	16
9	9
9	65
5	40
12	9
16	63
14	48
13	1
14	3
16	73
15	2
26	60
14	123
9	212
5	7
10	79
9	88
13	45
5	70
8	87
8	11
8	16
7	34
10	65
15	59
10	20
11	10
9	5
10	103
8	8
8	78
8	44
12	6
15	1
8	5
11	11
10	65
11	127
8	12
17	2
8	12
8	9
11	7
13	39
10	8
10	8
14	12
9	21
10	6
9	11
15	90
5	6
12	99
10	7
10	122
10	142
13	6
15	155
12	79
8	117
10	14
9	72
9	3
12	1
12	2
12	138
21	134
13	21
11	43
26	10
9	66
11	5
9	82
6	15
9	79
5	99
11	4
10	8
8	6
15	1
8	42
9	68
9	75
8	1
5	15
9	5
8	70
6	53
11	26
8	18
10	52
14	74
11	8
8	34
11	7
14	31
11	17
12	2
9	13
15	13
8	78
10	12
24	10
9	29
23	50
10	27
15	99
13	97
14	97
10	111
11	14
13	23
21	85
9	69
13	65
13	108
14	99
10	396
6	16
9	3
11	101
15	9
17	12
10	1
7	85
10	96
10	71
8	19
11	11
12	18
17	6
16	8
14	1
10	9
11	39
12	14
11	63
15	0
12	14
10	8
6	1
15	28
9	13
9	43
10	10
5	52
9	8
9	23
8	50
8	71
9	12
6	82
11	20
16	5
11	93
9	121
12	24
9	4
10	15
8	4
10	8
10	76
17	110
10	112
9	68
9	83
5	25
7	57
9	70
10	1
6	116
11	70
7	33
8	51
8	65
10	138
13	130
9	93
32	24
14	100
16	14
26	2
7	110
11	2
11	72
13	84
10	8
12	71
10	17
10	172
8	38
9	225
11	78
8	101
7	11
11	19
15	175
12	148
7	149
7	125
11	23
13	180
13	45
6	111
7	1
12	46
11	5
13	97
10	3
11	60
8	87
8	8
9	13
14	13
11	7
9	27
12	29
14	2
11	3
10	56
9	10
8	12
9	7
10	74
8	4
11	6
14	21
10	69
9	53
11	31
5	7
10	109
15	41
12	20
8	109
12	50
11	94
19	26
9	56
10	74
14	84
12	84
7	59
5	99
15	19
9	16
9	16
10	36
8	23
10	33
9	8
8	1
9	1
12	15
6	64
8	13
10	2
16	7
7	71
13	67
13	2
8	4
17	15
10	2
5	20
14	3
9	18
15	11
4	11
7	24
11	45
11	66
6	52
13	69
11	72
8	73
8	67
12	63
10	51
11	1
9	59
11	33
11	29
10	6
9	14
9	8
13	2
11	2
11	3
7	62
9	189
10	10
10	23
8	80
8	68
7	57
5	83
8	21
18	18
9	123
10	158
8	123
11	37
12	90
6	107
14	13
14	16
9	27
8	87
10	83
13	15
12	81
11	80
16	125
16	72
7	165
14	127
12	12
8	140
11	73
12	97
12	89
10	106
11	52
10	145
9	153
13	109
12	383
19	1
11	15
14	167
9	67
4	63
9	37
8	8
7	139
14	78
9	75
18	121
16	74
9	10
9	13
15	60
8	101
7	1
9	33
12	30
8	19
9	9
8	10
10	8
9	16
10	12
10	43
6	10
16	19
10	99
10	6
11	28
10	109
11	133
11	1
8	150
8	109
20	12
9	247
5	3
14	109
10	108
7	16
11	25
9	54
5	4
8	24
13	1
7	19
7	6
12	118
8	46
9	3
17	1
10	4
12	121
17	12
8	53
9	10
9	42
15	5
8	100
10	68
19	9
17	106
9	1
5	18
10	105
14	115
5	2
11	43
8	33
10	38
14	114
8	69
10	82
4	10
15	14
6	10
10	96
15	73
11	74
11	74
6	47
13	87
17	10
9	77
7	93
23	4
16	32
12	51
12	111
10	101
9	100
10	108
14	82
11	93
18	33
14	76
18	34
11	74
14	52
9	13
11	28
13	35
9	13
8	10
12	7
8	66
13	61
20	13
15	2
11	10
10	24
13	17
12	23
15	12
11	33
9	12
9	16
5	14
8	52
12	16
8	25
8	69
23	57
14	44
9	90
6	81
11	67
11	3
10	52
14	3
7	1
8	11
7	1
8	13
11	21
8	100
11	7
8	22
8	14
8	13
19	12
11	8
10	31
13	14
12	54
20	3
13	40
9	51
10	7
8	67
9	162
10	14
5	81
12	28
12	3
11	26
11	120
15	11
8	10
7	59
5	11
8	3
6	151
10	245
10	145
10	10
10	5
10	40
7	148
9	14
11	116
8	51
14	91
14	18
11	118
12	18
11	58
11	190
8	102
7	256
9	203
9	25
15	2
8	65
11	66
11	59
12	67
12	79
10	83
10	83
7	86
14	63
13	135
14	102
14	59
11	99
24	90
14	116
14	13
8	123
10	16
14	63
17	39
8	120
12	23
11	1
11	48
9	39
10	4
13	1
10	8
12	3
13	5
8	5
12	80
13	74
10	31
11	17
14	122
12	30
12	20
9	34
13	35
15	6
14	43
11	162
30	20
9	198
17	232
14	122
14	35
9	187
9	84
7	92
13	141
10	1
13	102
6	2
8	23
11	80
9	17
21	114
17	41
14	64
9	108
10	9
15	41
8	11
9	4
10	18
7	11
10	125
15	16
10	18
12	2
8	25
8	40
10	6
15	8
14	12
7	94
11	24
15	41
11	123
22	12
5	15
13	13
12	35
12	28
16	18
12	40
10	64
11	12
10	9
12	6
7	55
14	32
9	6
10	1
10	36
9	113
8	17
13	7
15	7
27	11
9	35
9	26
9	39
14	30
12	45
10	88
10	9
8	15
12	3
10	4
8	13
8	12
12	41
8	25
7	6
12	82
12	24
13	7
13	10
11	14
8	49
9	76
17	64
15	176
8	168
11	76
8	10
10	34
9	108
20	8
12	10
11	4
7	9
7	80
10	6
8	80
9	11
17	170
10	85
12	18
10	13
12	104
18	79
11	50
20	43
14	162
12	96
14	52
21	24
15	13
13	7
9	14
10	51
13	13
11	120
9	48
16	14
13	81
7	33
6	97
18	23
18	25
7	96
8	26
15	67
12	119
16	3
14	14
9	15
12	59
15	81
11	37
14	119
6	103
10	71
8	22
10	7
16	14
18	112
18	14
10	107
13	104
16	15
10	9
14	86
10	95
10	116
10	120
9	87
15	107
11	111
10	92
17	116
16	14
7	149
10	88
22	81
10	79
9	71
9	90
13	126
13	146
13	5
9	33
10	1
11	53
10	83
11	41
14	1
8	81
16	48
9	21
11	5
10	22
17	100
32	14
12	1
15	33
17	40
34	14
7	13
26	74
12	71
24	6
11	17
18	40
14	8
19	23
7	26
7	7
8	12
11	14
12	20
6	136
8	8
7	120
10	106
11	12
13	17
8	62
14	92
19	16
19	23
19	40
34	1
33	1
15	12
14	3
17	8
14	74
8	25
13	72
13	20
8	10
27	2
10	191
11	12
18	72
5	118
19	19
5	112
9	136
12	73
10	104
31	13
21	75
11	81
21	10
7	63
10	83
9	2
11	19
13	4
9	18
15	9
9	17
9	60
13	90
12	69
10	11
10	27
11	108
9	13
12	9
9	82
13	20
8	12
16	62
12	7
8	13
5	94
8	89
8	17
9	17
11	137
15	146
12	96
14	159
12	111
12	60
12	69
11	63
20	124
12	95
18	71
12	103
10	104
11	149
9	168
9	55
14	107
10	9
7	76
13	5
12	10
19	29
9	50
9	9
15	18
12	40
11	17
12	15
14	265
14	4
11	144
25	9
10	106
10	30
8	83
17	7
22	10
12	89
7	4
10	32
10	27
8	12
8	47
10	44
9	46
12	91
12	68
19	129
16	100
8	14
13	81
9	86
18	1
16	6
13	4
8	13
7	7
13	9
8	2
8	11
10	8
7	42
15	13
14	13
15	15
11	142
9	22
18	109
21	230
13	4
15	10
7	137
10	7
12	78
16	7
9	1
14	6
10	1
11	1
18	10
8	1
11	11
12	1
13	9
8	6
12	13
11	9
11	11
8	49
9	18
9	50
16	44
10	47
11	14
17	10
6	9
7	54
13	92
18	9
8	20
12	73
17	38
10	51
20	9
15	50
15	12
20	21
8	11
15	9
21	97
14	3
18	30
11	8
41	154
10	8
14	11
15	424
11	22
17	82
8	45
9	1
4	8
9	2
8	6
9	17
8	25
7	55
14	39
8	10
7	40
11	2
8	41
6	1
9	9
9	6
11	11
13	4
7	100
8	77
12	92
17	326
10	71
8	90
14	85
10	22
9	43
9	9
11	31
9	43
19	94
11	112
8	48
5	8
11	2
9	38
7	9
8	1
8	2
16	50
16	23
13	8
8	18
13	6
14	51
12	57
6	30
11	102
10	41
16	7
10	88
9	91
8	86
9	7
10	1
9	24
10	67
10	19
11	11
11	48
10	61
9	13
10	11
10	50
8	44
11	25
13	6
9	60
10	31
12	10
12	17
16	44
12	44
10	68
15	6
9	87
8	16
13	58
9	113
12	2
7	9
19	13
8	47
8	57
13	82
9	6
8	45
12	27
7	9
6	3
