input_toks	output_toks
93	131
96	42
1068	444
3	418
5	38
3	143
3	165
3	222
1047	70
10	378
6	330
19	231
45	345
9	329
9	362
9	267
4	132
13	306
52	404
48	528
48	514
52	571
54	566
53	294
46	445
16	379
11	367
16	441
13	364
13	339
11	349
4	138
11	326
11	309
15	319
13	302
3	235
12	642
9	595
11	475
9	585
11	574
8	453
8	367
10	512
9	433
10	225
14	302
64	383
12	306
33	358
13	277
10	609
16	296
28	394
21	663
57	476
12	370
13	278
10	68
26	214
155	355
35	293
39	305
14	334
19	344
10	456
56	0
103	262
16	366
12	214
9	322
18	523
10	492
6	472
8	439
8	380
14	322
16	289
34	305
10	180
5	311
9	585
6	521
13	453
12	617
11	568
15	453
33	501
19	583
545	134
11	125
2	121
15	55
5	154
12	20
134	418
32	425
20	363
25	397
22	227
22	255
30	287
22	393
9	389
13	138
10	210
24	205
127	192
20	517
10	508
20	260
9	167
17	107
21	32
12	149
25	277
21	425
9	434
13	537
34	369
377	389
10	652
312	210
3	511
9	242
68	361
26	517
56	319
2161	221
22	197
10	420
20	572
20	396
16	529
9	616
1776	355
458	376
19	352
50	178
20	185
44	705
120	739
62	201
25	146
1	36
12	173
36	229
34	457
14	406
11	280
11	353
22	340
277	284
7	7
5	13
21	244
4	577
15	140
23	184
13	243
25	193
7	113
19	286
21	225
0	9
343	171
0	21
377	9
9	24
1671	126
1518	853
1458	217
1644	279
2205	903
1973	225
1458	183
1915	150
1586	348
1781	42
1121	107
2490	400
2659	227
3857	29
741	187
14	155
86	387
6	190
14	309
71	213
160	167
82	164
40	247
2498	27
2440	180
2498	21
75	182
26	286
2485	796
155	339
244	306
21	21
29	282
13	208
36	492
279	356
11	338
343	416
38	172
119	854
45	751
95	419
171	465
336	660
13	265
6	631
40	449
78	742
226	557
53	163
21	633
30	644
60	579
4	132
18	200
3	188
7	91
18	298
16	531
20	398
42	490
10	504
12	621
11	432
5	526
42	458
57	767
12	7
12	138
10	175
163	79
45	92
9	126
12	138
19	256
17	463
20	260
27	265
10	477
21	465
11	365
10	230
14	359
21	442
14	409
22	224
10	313
25	384
10	445
20	465
15	469
228	284
15	251
23	117
58	64
7	340
21	424
215	288
24	227
22	455
69	473
5	360
38	249
50	217
39	203
45	500
21	374
41	618
28	170
50	130
26	17
176	11
42	12
74	366
14	395
64	396
24	114
10	686
20	624
8	847
20	434
12	524
8	327
16	319
6	319
5	344
16	577
51	246
4	488
26	286
5	257
22	334
19	484
7	259
5	192
10	291
9	459
11	352
8	279
10	544
18	223
13	564
13	482
9	265
52	36
113	108
166	159
12	159
19	17
48	136
24	194
